# extended ;1
# legs ;['blueleg']
# legs model ;['tetra']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[ -16. -114.    0.];[-1.59475954e+01 -1.14366641e+02  2.18828854e-03];[-1.26045078e+01 -1.15433658e+02 -2.34127443e-02];[0.0, 0.0, 0.0]
[ -16. -114.    8.];[ -15.94601435 -114.36653713    7.97811545];[ -12.59550491 -115.44063226    7.29966836];[0.0, 0.0, 0.0]
[ -16. -114.   16.];[ -15.94574682 -114.36948049   15.95290147];[ -13.15086116 -115.0002616    13.49757505];[0.0, 0.0, 0.0]
[ -16. -114.   24.];[ -15.94691615 -114.37326806   23.92518644];[ -13.31613014 -115.23137069   19.8017242 ];[0.0, 0.0, 0.0]
[ -16. -114.   32.];[ -15.95052767 -114.3678202    31.89566399];[ -13.83033756 -115.09438535   24.69425074];[0.0, 0.0, 0.0]
[ -24. -114.   24.];[ -23.91914171 -114.35330848   23.94405878];[ -19.70617659 -114.98521533   19.61259234];[0.0, 0.0, 0.0]
[ -24. -114.   16.];[ -23.92253678 -114.35337256   15.96557578];[ -18.80668661 -115.44902311   13.77448016];[0.0, 0.0, 0.0]
[ -24. -114.    8.];[ -23.92140819 -114.35470397    7.98832313];[ -19.08593082 -114.8646854     6.59957594];[0.0, 0.0, 0.0]
[ -24. -114.    0.];[-2.39199952e+01 -1.14366756e+02  1.02300138e-02];[-1.88869936e+01 -1.15065236e+02 -7.54205316e-02];[0.0, 0.0, 0.0]
[ -24. -114.   -8.];[ -23.92109319 -114.37809288   -7.96712094];[ -19.17477342 -114.59599184   -7.45488264];[0.0, 0.0, 0.0]
[ -24. -114.  -16.];[ -23.92681524 -114.37769145  -15.94371195];[ -18.91490663 -114.60647259  -13.26086661];[0.0, 0.0, 0.0]
[ -24. -114.  -24.];[ -23.93863312 -114.35171892  -23.92308399];[ -19.66346102 -114.16722616  -20.35011146];[0.0, 0.0, 0.0]
[ -32. -114.  -16.];[ -31.88834119 -114.37824507  -15.95581148];[ -25.87152712 -114.36459677  -13.8065282 ];[0.0, 0.0, 0.0]
[ -32. -114.   -8.];[ -31.88869475 -114.38192081   -7.97278387];[ -25.46346327 -114.20188253   -7.22901099];[0.0, 0.0, 0.0]
[ -32. -114.    0.];[-3.18877296e+01 -1.14373758e+02  6.68616285e-03];[ -24.94862153 -114.67720605    0.50484544];[0.0, 0.0, 0.0]
[ -32. -114.    8.];[ -31.89468622 -114.34683878    7.98787718];[ -25.44781324 -114.65213796    7.78857673];[0.0, 0.0, 0.0]
[ -32. -114.   16.];[ -31.89655089 -114.3428689    15.96840277];[ -25.8269567  -114.54171679   14.4797982 ];[0.0, 0.0, 0.0]
[ -32. -122.   16.];[ -31.88814646 -122.24678324   15.96111546];[ -25.47060656 -121.71806473   13.79641373];[0.0, 0.0, 0.0]
