# extended ;1
# legs ;['blueleg']
# legs model ;['beam']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[  -8. -122.  -32.];[  -7.9793906  -122.18380038  -31.90703273];[0 0 0];[-8.37 -121.7 -32.87]
[  -8. -122.  -24.];[  -7.97668341 -122.1937935   -23.92649878];[0 0 0];[-8.12 -122.06 -26.14]
[  -8. -122.  -16.];[  -7.97413105 -122.20503554  -15.94758616];[0 0 0];[-8.3 -122.68 -18.96]
[  -8. -122.   -8.];[  -7.9715937  -122.2184639    -7.97188585];[0 0 0];[-8.32 -123.05 -10.96]
[  -8. -122.    0.];[-7.97095081e+00 -1.22221106e+02 -3.66600560e-04];[0 0 0];[-8.48 -123.24 -3.01]
[  -8. -122.    8.];[  -7.97159064 -122.21848102    7.97127214];[0 0 0];[-8.55 -123.11 5.62]
[  -8. -122.   16.];[  -7.97412632 -122.20506316   15.94708044];[0 0 0];[-8.51 -122.57 13.94]
[  -8. -122.   24.];[  -7.97667924 -122.19381654   23.9260892 ];[0 0 0];[-8.21 -121.83 21.33]
[  -8. -122.   32.];[  -7.97923401 -122.1838089    31.90685016];[0 0 0];[-8.05 -121.36 29.51]
[   0. -122.   32.];[-1.57429457e-04 -1.22182288e+02  3.19070460e+01];[0 0 0];[-0.3 -121.39 29.36]
[   0. -122.   24.];[-3.98380945e-09 -1.22191927e+02  2.39265342e+01];[0 0 0];[0.36 -121.78 22.28]
[   0. -122.   16.];[ 3.06819037e-10 -1.22203242e+02  1.59475273e+01];[0 0 0];[0.54 -122.45 15.08]
[   0. -122.    8.];[ 3.28156684e-11 -1.22217196e+02  7.97175757e+00];[0 0 0];[0.48 -122.9 7.11]
[   0. -122.    0.];[-1.43966285e-10 -1.22232115e+02  3.65804210e-04];[0 0 0];[0.46 -123.23 -1.21]
[   0. -122.   -8.];[ 2.53314441e-10 -1.22217222e+02 -7.97114388e+00];[0 0 0];[0.5 -123.2 -9.65]
[   0. -122.  -16.];[-1.51392344e-10 -1.22203266e+02 -1.59470240e+01];[0 0 0];[0.72 -122.76 -17.99]
[   0. -122.  -24.];[ 9.51493497e-10 -1.22191949e+02 -2.39261264e+01];[0 0 0];[0.88 -122.07 -24.61]
[   0. -122.  -32.];[-6.12162935e-10 -1.22182295e+02 -3.19068660e+01];[0 0 0];[0.67 -121.8 -32.42]
[   8. -122.  -32.];[   7.97907475 -122.18379468  -31.90703348];[0 0 0];[8.57 -121.67 -32.9]
[   8. -122.  -24.];[   7.9766834  -122.19379351  -23.92649878];[0 0 0];[9.2 -121.94 -26.28]
[   8. -122.  -16.];[   7.97413105 -122.20503554  -15.94758616];[0 0 0];[9.25 -122.47 -18.7]
[   8. -122.   -8.];[   7.9715937  -122.21846391   -7.97188585];[0 0 0];[9.36 -122.78 -10.8]
[   8. -122.    0.];[ 7.97095081e+00 -1.22221106e+02 -3.66601809e-04];[0 0 0];[9.33 -122.95 -2.66]
[   8. -122.    8.];[   7.97159065 -122.21848103    7.97127214];[0 0 0];[9.13 -122.73 5.98]
[   8. -122.   16.];[   7.97412632 -122.20506315   15.94708044];[0 0 0];[9.26 -122.15 14.08]
[   8. -122.   24.];[   7.97667924 -122.19381656   23.9260892 ];[0 0 0];[9.18 -121.4 21.32]
[   8. -122.   32.];[   7.97923402 -122.18380892   31.90685016];[0 0 0];[8.66 -120.8 29.45]
[  16. -122.   32.];[  15.95818103 -122.18529631   31.90842187];[0 0 0];[16.26 -120.51 29.73]
