# extended ;1
# legs ;['blueleg']
# legs model ;['cosserat']
# legs young modulus ;[35000.]
# legs poisson ratio ;[0.45]
# legs position on motor ;['counterclockwisedown', 'clockwisedown', 'counterclockwisedown', 'clockwisedown']
# connector ;bluepart
# connector type ;rigid
Target;Simulation;DepthCamera;Polhemus
[   0. -114.  -16.];[ 1.68543265e-08 -1.14429240e+02 -1.59332161e+01];[0 0 0];[-0.19 -132.57 -8.49]
[   0. -114.   -8.];[-5.74719404e-09 -1.14424915e+02 -7.96807963e+00];[0 0 0];[-0.08 -132.61 -1.93]
[   0. -114.    0.];[-1.68015970e-09 -1.14416447e+02 -2.14590325e-08];[0 0 0];[-0.16 -132.35 5.2]
[   0. -114.    8.];[-4.08955878e-09 -1.14424915e+02  7.96807964e+00];[0 0 0];[-0.14 -131.69 12.37]
[   0. -114.   16.];[-1.57515510e-08 -1.14429240e+02  1.59332161e+01];[0 0 0];[-0.18 -130.73 19.49]
[   0. -114.   24.];[ 5.26942159e-09 -1.14429417e+02  2.38937637e+01];[0 0 0];[-0.15 -129.86 26.45]
[   0. -114.   32.];[ 8.51362840e-09 -1.14425276e+02  3.18476077e+01];[0 0 0];[-0.38 -128.95 33.53]
[  -8. -114.   32.];[  -7.96745518 -114.42388514   31.84755507];[0 0 0];[-6.16 -129.02 33.61]
[  -8. -114.   24.];[  -7.96748744 -114.42811256   23.89383265];[0 0 0];[-6.36 -129.84 27.81]
[  -8. -114.   16.];[  -7.96770617 -114.4279505    15.93331407];[0 0 0];[-6.4 -130.61 20.97]
[  -8. -114.    8.];[  -7.96814712 -114.42358235    7.96814711];[0 0 0];[-6.45 -131.3 14.12]
[  -8. -114.    0.];[-7.96807964e+00 -1.14424915e+02  1.20309686e-08];[0 0 0];[-6.37 -131.88 7.1]
[  -8. -114.   -8.];[  -7.96814713 -114.42358237   -7.9681471 ];[0 0 0];[-6.5 -132.23 0.28]
[  -8. -114.  -16.];[  -7.96770617 -114.42795048  -15.93331407];[0 0 0];[-6.57 -132.07 -6.51]
